,CIUDAD,city,country,tamciud,lat,lon,radius_m,amenity_bar,amenity_bar_per100k,amenity_pub,amenity_pub_per100k,amenity_cafe,amenity_cafe_per100k,amenity_community_centre,amenity_community_centre_per100k,amenity_social_centre,amenity_social_centre_per100k,amenity_arts_centre,amenity_arts_centre_per100k,amenity_theatre,amenity_theatre_per100k,amenity_music_venue,amenity_music_venue_per100k,amenity_place_of_worship,amenity_place_of_worship_per100k,amenity_social_facility,amenity_social_facility_per100k,office_political_party,office_political_party_per100k,office_association,office_association_per100k,office_ngo,office_ngo_per100k,club_sport,club_sport_per100k,club_social,club_social_per100k,leisure_park,leisure_park_per100k,leisure_garden,leisure_garden_per100k,leisure_common,leisure_common_per100k,leisure_sports_centre,leisure_sports_centre_per100k,leisure_pitch,leisure_pitch_per100k,third_places,third_places_per100k
40,68002019,BO: Chuquisaca-Mosoj Llajta,Bolivia,1,-19.65166667,-64.69944444,2000,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,4,160,10,400
41,68003001,BO: Cochabamba-Cochabamba,Bolivia,7,-17.38944444,-66.15666667,2000,26,10.4,13,5.2,81,32.4,9,3.6,2,0.8,10,4,37,14.8,0,0,41,16.4,25,10,0,0,2,0.8,19,7.6,2,0.8,2,0.8,17,6.8,12,4.8,0,0,39,15.6,3,1.2,340,136
42,68003004,BO: Cochabamba-Sacaba,Bolivia,7,-17.39777778,-66.03805556,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,8,3.2,0,0,0,0,0,0,1,0.4,0,0,0,0,22,8.8,1,0.4,0,0,8,3.2,41,16.4,82,32.8
43,68003012,BO: Cochabamba-Quillacollo,Bolivia,7,-17.39222222,-66.27833333,2000,2,0.8,0,0,0,0,1,0.4,0,0,1,0.4,1,0.4,0,0,11,4.4,0,0,0,0,3,1.2,0,0,0,0,0,0,15,6,1,0.4,0,0,13,5.2,8,3.2,56,22.4
44,68003013,BO: Cochabamba-Ivirgarzama,Bolivia,2,-17.05083333,-64.86583333,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.33333333,3,40,0,0,3,40,2,26.66666667,9,120
45,68004009,BO: La Paz-La Paz,Bolivia,8,-16.5,-68.15,2000,15,0.6,3,0.12,3,0.12,11,0.44,1,0.04,6,0.24,2,0.08,0,0,80,3.2,10,0.4,3,0.12,9,0.36,7,0.28,3,0.12,0,0,172,6.88,11,0.44,0,0,3,0.12,8,0.32,347,13.88
46,68004029,BO: La Paz-Antequera,Bolivia,1,-17.66666667,-68.11666667,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,1,40,4,160
47,68005004,BO: Oruro-Oruro,Bolivia,7,-17.98333333,-67.15,2000,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,19,7.6,0,0,3,1.2,0,0,0,0,0,0,0,0,30,12,47,18.8,0,0,4,1.6,37,14.8,141,56.4
48,68006001,BO: Pando-Cobija,Bolivia,5,-11.02666667,-68.76916667,2000,2,4.444444444,0,0,0,0,1,2.222222222,0,0,0,0,1,2.222222222,0,0,15,33.33333333,3,6.666666667,0,0,0,0,0,0,0,0,0,0,26,57.77777778,0,0,0,0,9,20,2,4.444444444,59,131.1111111
49,68006004,BO: Pando-Santa Lucia,Bolivia,1,-11.08361111,-67.89555556,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,320,10,400
